# mmdd,TotalPositive,Active,Discharged,Deceased
# numbers taken are from the last report of the day
000,000,000,000
000,000,000,000
000,000,000,000
000,000,000,000
000,000,000,000
000,000,000,000
000,000,000,000
002,002,000,000
002,002,000,000
002,002,000,000
002,002,000,000
002,002,000,000
003,003,000,000
006,006,000,000
006,006,000,000
013,013,000,000
013,013,000,000
015,015,000,000
015,015,000,000
015,015,000,000
015,015,000,000
020,018,000,002
021,019,000,002
021,019,000,002
026,022,002,002
026,022,002,002
029,025,002,002
