# mmdd,TotalPositive,Active,Discharged,Deceased
# numbers taken are from the last report of the day
0,0,0,0,0,2020,03,24
0,0,0,0,0,2020,03,25
0,0,0,0,0,2020,03,26
0,0,0,0,0,2020,03,27
0,0,0,0,0,2020,03,28
0,0,0,0,0,2020,03,29
0,0,0,0,0,2020,03,30
0,0,0,0,0,2020,03,31
0,0,0,0,0,2020,04,01
0,0,0,0,0,2020,04,02
0,0,0,0,0,2020,04,03
0,0,0,0,0,2020,04,04
0,0,0,0,0,2020,04,05
0,0,0,0,0,2020,04,06
0,0,0,0,0,2020,04,07
0,0,0,0,0,2020,04,08
0,0,0,0,0,2020,04,09
0,0,0,0,0,2020,04,10
0,0,0,0,0,2020,04,11
0,0,0,0,0,2020,04,12
0,0,0,0,0,2020,04,13
0,0,0,0,0,2020,04,14
0,0,0,0,0,2020,04,15
0,0,0,0,0,2020,04,16
0,0,0,0,0,2020,04,17
0,0,0,0,0,2020,04,18
0,0,0,0,0,2020,04,19
0,0,0,0,0,2020,04,20
0,0,0,0,0,2020,04,21
0,0,0,0,0,2020,04,22
0,0,0,0,0,2020,04,23
0,0,0,0,0,2020,04,24
0,0,0,0,0,2020,04,25
0,0,0,0,0,2020,04,26
0,0,0,0,0,2020,04,27
0,0,0,0,0,2020,04,28
0,0,0,0,0,2020,04,29
0,0,0,0,0,2020,04,30
0,0,0,0,0,2020,05,01
0,0,0,0,0,2020,05,02
0,0,0,0,0,2020,05,03
0,0,0,0,0,2020,05,04
0,0,0,0,0,2020,05,05
0,0,0,0,0,2020,05,06
3,3,3,0,0,2020,05,07
1,4,4,0,0,2020,05,08
0,4,4,0,0,2020,05,09
0,4,4,0,0,2020,05,10
0,4,4,0,0,2020,05,11
0,4,4,0,0,2020,05,12
0,4,4,0,0,2020,05,13
0,4,4,0,0,2020,05,14
3,7,7,0,0,2020,05,15
0,7,7,0,0,2020,05,16
0,7,7,0,0,2020,05,17
1,8,8,0,0,2020,05,18
1,78,47,31,0,2020,06,20
6,84,53,31,0,2020,06,21
6,90,59,31,0,2020,06,22
1,91,60,31,0,2020,06,23
3,94,63,31,0,2020,06,24
5,99,60,39,0,2020,06,25
23,122,83,39,0,2020,06,26
15,137,97,39,1,2020,06,27
8,145,101,43,1,2020,06,28
1,146,101,43,2,2020,06,29
13,159,108,49,2,2020,06,30
2,161,110,49,2,2020,07,01
13,174,117,55,2,2020,07,02
10,184,126,56,2,2020,07,03
13,197,131,63,3,2020,07,04
18,215,149,63,3,2020,07,05
24,239,173,63,3,2020,07,06
30,269,170,96,3,2020,07,07
38,307,202,102,3,2020,07,08
26,333,210,120,3,2020,07,09
86,419,275,140,4,2020,07,10
76,495,348,140,7,2020,07,11
138,633,463,163,7,2020,07,12
69,702,516,178,8,2020,07,13
130,832,616,207,9,2020,07,14
49,881,623,248,10,2020,07,15
101,982,723,248,11,2020,07,16
89,1071,770,288,13,2020,07,17
118,1189,887,288,14,2020,07,18
241,1430,1076,337,17,2020,07,19
56,1486,1131,337,18,2020,07,20
210,1696,1289,388,19,2020,07,21
107,1803,1257,523,23,2020,07,22
277,2080,1426,626,28,2020,07,23
322,2402,1549,824,29,2020,07,24
523,2925,1938,954,33,2020,07,25
247,3172,2052,1084,36,2020,07,26
157,3329,2040,1249,40,2020,07,27
220,3549,2152,1353,44,2020,07,28
53,3602,2111,1440,51,2020,07,29
214,3816,2062,1699,55,2020,07,30
388,4204,2261,1887,56,2020,07,31
119,4323,2274,1991,58,2020,08,01
637,4960,2695,2204,61,2020,08,02
677,5637,3272,2300,65,2020,08,03
591,6228,3705,2457,66,2020,08,04
665,6893,4251,2573,69,2020,08,05
530,7998,4970,2953,75,2020,08,07
450,8448,5026,3342,80,2020,08,08
358,8806,5146,3577,83,2020,08,09
574,9380,5476,3816,88,2020,08,10
594,9974,5748,4133,93,2020,08,11
593,10567,5968,4501,98,2020,08,12
569,11136,6212,4821,103,2020,08,13
548,11684,6458,5120,106,2020,08,14
561,12245,6667,5466,112,2020,08,15
388,12633,6691,5826,116,2020,08,16
462,13095,6752,6222,121,2020,08,17
513,13608,6931,6551,126,2020,08,18
428,14036,6952,6953,131,2020,08,19
385,14421,6925,7362,134,2020,08,20
542,14963,7003,7826,134,2020,08,21
505,15468,7115,8216,137,2020,08,22
200,15668,7003,8526,139,2020,08,23
572,16240,7097,9000,143,2020,08,24
667,16907,7217,9546,144,2020,08,25
564,17471,7352,9970,149,2020,08,26
563,18034,7408,10473,153,2020,08,27
552,18586,7390,11042,154,2020,08,28
715,19301,7641,11502,158,2020,08,29
558,19859,7742,11954,163,2020,08,30
540,20399,7882,12353,164,2020,08,31
552,20951,7990,12795,166,2020,09,01
560,21511,8163,13179,169,2020,09,02
577,22088,8353,13564,171,2020,09,03
